token,category,last_modified_at,city,title,price,size,year,has_parking,has_elevator,rooms,floor
ga_AsEaz,apartment-sell,2026-07-20 18:59:36,tehran,سرمایه گذاری در ملک باسودتضمینی ۶۰۰ میلیون درماه,5100000000,53,1398,1,1,یک,1
ga2MUUg7,apartment-sell,2026-07-20 15:34:02,tehran,70متر/تکواحدی/فول/2 پارکینگه/کلیددراختیار,11800000000,70,1395,1,1,دو,2
ga4cynNZ,apartment-sell,2026-07-20 16:13:38,tehran,۶۰ متر دوخواب پارکینگ دار طبقه اول مرتضوی,9750000000,60,1384,1,0,دو,1
gaAd-C5L,apartment-sell,2026-07-20 15:52:27,tehran,تضمین اصل سرمایه به همراه سود چشمگیر,5150000000,43,1404,1,1,یک,2
gaAlODVZ,apartment-sell,2026-07-20 16:09:56,tehran,۴۴متر/سرمایه گذاری کوتاه مدت/سود۶۰۰میلیون,4580000000,44,1399,1,1,یک,3
gaAVuoeR,apartment-sell,2026-07-20 15:52:38,tehran,کسب درامد ماهیانه/۴۵۰میلیون به بالا,6000000000,50,1402,1,1,یک,5
gabdnbMc,apartment-sell,2026-07-20 17:09:54,tehran,آپارتمان بنام خودتون بخریدوبفروشیدباسود ۶۰۰میلیونی,4600000000,52,1395,1,1,یک,1
gabdnByL,apartment-sell,2026-07-20 16:12:25,tehran,واحد 40 متری خوش نقشه در بهترین لوکیشن,7800000000,40,1390,0,0,یک,1
gacFNv_J,apartment-sell,2026-07-20 14:56:07,tehran,54 متر / فول بازسازی /طبقه اول  فوری,5800000000,45,1387,0,0,یک,1
gacNaWMv,apartment-sell,2026-07-20 15:14:19,tehran,۴۰متر/فول امکانات /سالن پرده خور/ تک واحدی / نوساز,6850000000,40,1401,1,1,یک,4
gacY0y9q,apartment-sell,2026-07-20 18:19:02,tehran,آپارتمان شش دانگ بخریدو بفروشید با سود ۶۰۰ میلیونی,4420000000,50,1394,1,1,یک,2
gad5cfqg,apartment-sell,2026-07-20 17:58:04,tehran,۶۸ متر / ۲ خواب  / سلسبیل سپه,9500000000,68,1386,0,0,دو,0
gaddX3tl,apartment-sell,2026-07-20 17:19:16,tehran,دریافت سود۵۰۰الی۷۰۰میلیونی در خریدوفروش,4850000000,49,1400,1,1,یک,2
gadJd-1s,apartment-sell,2026-07-20 15:49:47,tehran,67متر /پارکینگ /انباری /تکواحدی /طبقه اول,8500000000,67,1394,1,0,یک,1
gadlORFZ,apartment-sell,2026-07-20 15:46:10,tehran,۵۵متریک خواب طبقه اول وچهارم یک سال ساخت,13500000000,55,1403,0,1,یک,1
gadN8zWz,apartment-sell,2026-07-20 15:28:51,tehran,۶۷ متر    تکواحدی    فول امکانات     کلید نخورده,11300000000,67,1404,1,1,یک,4
gadNQr8T,apartment-sell,2026-07-20 15:28:22,tehran,78متر/2خواب/تکواحدی/سالن پرده خور/بازسازی,10650000000,80,1382,0,0,دو,1
gae131CI,apartment-sell,2026-07-20 20:02:04,tehran,فروش آپارتمان ۶۰متری بدون مشابه در سپه /جیحون,8500000000,60,1401,0,1,دو,1
gae1DSNt,apartment-sell,2026-07-20 15:23:17,tehran,۴۰متر فول امکانات / طبقه۲ / مختص زوجین جوان,7600000000,40,1392,1,1,یک,2
gae1DU3n,apartment-sell,2026-07-20 15:25:49,tehran,اپارتمان ۱۴۷ متری تکواحدی,44800000000,147,1395,1,1,سه,5
gae1jkc0,apartment-sell,2026-07-20 15:25:28,tehran,طوس خوش ۵۰ متر طبقه همکف تکواحد خوش نقشه,7800000000,50,1380,0,0,یک,0
gae1TsKQ,apartment-sell,2026-07-20 15:25:24,tehran,۵۴ متر / فول امکانات / گذر ۱۲ متری /سالن پرده خور,10400000000,54,1395,1,1,یک,3
gae5Db-5,apartment-sell,2026-07-20 15:28:32,tehran,77متر/خوش نقشه/فول بازسازی/سلسبیل شمالی,10000000000,77,1385,0,0,دو,4
gae5mbFk,apartment-sell,2026-07-20 18:53:16,tehran,۷۰متر/بدون پرتی/ تاپ لوکیشن منطقه /طوس,11150000000,70,1381,1,0,دو,2
gae9DIEy,apartment-sell,2026-07-20 15:31:21,tehran,۴۱متر/فول امکانات/سالن پرده خور,6750000000,41,1402,1,1,یک,4
gae9Snte,apartment-sell,2026-07-20 16:24:04,tehran,رودکی ۳۶ متری / تک واحدی / غرق نور / تاپ لوکیشن,5100000000,36,1379,0,0,یک,0
gaeB0ofK,apartment-sell,2026-07-20 15:37:34,tehran,53 متر / یک خواب / طبقه اول / تکواحدی,7500000000,53,1384,0,0,یک,1
